id,userName,userUrl,version,score,title,text,url
7112544323,Sotarlisa,https://itunes.apple.com/se/reviews/id511222172,6.6.8,2,Andra playappar bättre,Kommer inte ihåg vilket program jag håller på att se.,https://itunes.apple.com/se/review?id=343544214&type=Purple%20Software
7084556185,Per Hägglund,https://itunes.apple.com/se/reviews/id29305419,6.6.8,3,Lite brister,"På iPad visas av någon outgrundlig anledning alltid ”baren” för att swipa upp _alltid_ längst ner. Resten av GUI:t tonar bort. Detta är inte kutym för den här typen av appar (om några?).

När GUI är synligt, varför i hela friden finns inte klocka med?",https://itunes.apple.com/se/review?id=343544214&type=Purple%20Software
7084321653,9seventy,https://itunes.apple.com/se/reviews/id18988190,6.6.8,3,”Min lista” är den svaga punkten,"Fungerar bra och stabilt, lätt att navigera, men, men, men... ”Min Lista”, där jag kan spra mina favoritprogram, är svagpunkten i denna app. Program som jag lägger till i listan på iPhone dyker inte upp i Min Lista på Apple TV eller iPad och vice versa, trots att alla är registerade på samma Apple-ID. Det kan väl inte vara meningen att jag ska hålla på att lägga till samma program för varje enhet?

Om inte det går att lösa, varför skapar man inte en möjlighet till att skapa en egen inloggning såsom det fungerar hos era public service systerkanaler i Danmark, Norge och Finland?",https://itunes.apple.com/se/review?id=343544214&type=Purple%20Software
7082386769,aaaaaaaasdghk,https://itunes.apple.com/se/reviews/id196674509,6.6.8,1,Funkar inte på Apple TV,Går inte att casta till min Apple Tv trots omstart och om installation.,https://itunes.apple.com/se/review?id=343544214&type=Purple%20Software
7075594403,kris12347654,https://itunes.apple.com/se/reviews/id205833804,6.6.8,2,Crashar telefonen,"När jag använder spolfunktionen, så kraschar telefonen och startar om sig.",https://itunes.apple.com/se/review?id=343544214&type=Purple%20Software
7034253811,lamipi,https://itunes.apple.com/se/reviews/id174355826,6.6.8,5,Fantastisk men synka favoriter mellan enheter,"Ja rubriken säger allt, låt oss synka mellan alla våra enheter.😊",https://itunes.apple.com/se/review?id=343544214&type=Purple%20Software
7025625072,pirtef,https://itunes.apple.com/se/reviews/id992247281,6.6.7,5,Bra,OMG INGA REKLAMER OCH BEST ATT SPELA JAG ÄR PÅ AVSNITT 30 PÅ TILLBAKA TILL VINTERGATAN,https://itunes.apple.com/se/review?id=343544214&type=Purple%20Software
7016759710,Silltrut,https://itunes.apple.com/se/reviews/id26732575,6.6.7,1,AppleTV,"Senaste uppdateringar fungerar inte mot äldre AppleTV...

Inte heller 6.6.5... 3rd gen AppleTV vill inte vara med. Åter till 6.4.0 för att få funktion! (3gen må vara ’gammal’ men Apple uppdaterar den forfarande)",https://itunes.apple.com/se/review?id=343544214&type=Purple%20Software
7013021236,Aman2fee,https://itunes.apple.com/se/reviews/id336470944,6.6.7,3,Chromecast,Appen tappar Chromecast. Får radera och installera om med jämna mellanrum.,https://itunes.apple.com/se/review?id=343544214&type=Purple%20Software
7012400331,?)&kr6666666666,https://itunes.apple.com/se/reviews/id595851053,6.6.7,1,Tekniska problem,Har stått nu snart en vecka i min app när jag försöker gå in på något att där e tekniskt fel.,https://itunes.apple.com/se/review?id=343544214&type=Purple%20Software
7010733115,beroende apan,https://itunes.apple.com/se/reviews/id618066608,6.6.7,1,Piss,"Världens sämsta app den suger aldrig bra!
Alla filmer/ serier suger och det kommer alltid upp ” dålig täckning försök lite senare” 
LADA INTE NER DEN!!!",https://itunes.apple.com/se/review?id=343544214&type=Purple%20Software
7010611210,hddouerjffijt,https://itunes.apple.com/se/reviews/id248401275,6.6.7,1,Chromecast,Pinsamt instabil app att använda med chromecast - märks att statliga SVT inte är u nivå med andra aktörer när det gäller streamingtjänster. - Gör om gör rätt - !,https://itunes.apple.com/se/review?id=343544214&type=Purple%20Software
7000586568,m_s.com,https://itunes.apple.com/se/reviews/id633274899,6.6.5,3,Ok.,"Bra utbud! Dock kan man sällan gå in på ""mina sidor"", det blir bara en svart ruta.",https://itunes.apple.com/se/review?id=343544214&type=Purple%20Software
